"","Hour_of_day","Day_date","date_time","pickups","min","Row_num","Date","Time..EST.","Temp.","Visibility","Precip","Conditions","Day_of_week","Month","Week","X","Date_1","one_week_lag_pickups","isholiday","hour_min"
"337",0,2015-01-08,2015-01-08 00:00:00,327,0,169,"1/8/2015","0:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 0:51",541,"0","0-0"
"338",0,2015-01-08,2015-01-08 00:30:00,372,30,169,"1/8/2015","0:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 0:51",1013,"0","0-30"
"339",1,2015-01-08,2015-01-08 01:00:00,250,0,170,"1/8/2015","1:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 1:51",1309,"0","1-0"
"340",1,2015-01-08,2015-01-08 01:30:00,126,30,170,"1/8/2015","1:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 1:51",1362,"0","1-30"
"341",2,2015-01-08,2015-01-08 02:00:00,77,0,171,"1/8/2015","2:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 2:51",1345,"0","2-0"
"342",2,2015-01-08,2015-01-08 02:30:00,68,30,171,"1/8/2015","2:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 2:51",1188,"0","2-30"
"343",3,2015-01-08,2015-01-08 03:00:00,43,0,172,"1/8/2015","3:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 3:51",1091,"0","3-0"
"344",3,2015-01-08,2015-01-08 03:30:00,50,30,172,"1/8/2015","3:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 3:51",1004,"0","3-30"
"345",4,2015-01-08,2015-01-08 04:00:00,74,0,173,"1/8/2015","4:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 4:51",886,"0","4-0"
"346",4,2015-01-08,2015-01-08 04:30:00,89,30,173,"1/8/2015","4:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 4:51",688,"0","4-30"
"347",5,2015-01-08,2015-01-08 05:00:00,137,0,174,"1/8/2015","5:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 5:51",478,"0","5-0"
"348",5,2015-01-08,2015-01-08 05:30:00,229,30,174,"1/8/2015","5:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 5:51",404,"0","5-30"
"349",6,2015-01-08,2015-01-08 06:00:00,302,0,175,"1/8/2015","6:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 6:51",350,"0","6-0"
"350",6,2015-01-08,2015-01-08 06:30:00,540,30,175,"1/8/2015","6:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 6:51",377,"0","6-30"
"351",7,2015-01-08,2015-01-08 07:00:00,705,0,176,"1/8/2015","7:51:00",-11.7,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 7:51",334,"0","7-0"
"352",7,2015-01-08,2015-01-08 07:30:00,760,30,176,"1/8/2015","7:51:00",-11.7,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 7:51",351,"0","7-30"
