"","Hour_of_day","Day_date","date_time","pickups","min","Row_num","Date","Time..EST.","Temp.","Visibility","Precip","Conditions","Day_of_week","Month","Week","X","Date_1","one_week_lag_pickups","isholiday","hour_min"
"337",0,2015-01-08,2015-01-08 00:00:00,423,0,169,"1/8/2015","0:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 0:51",527,"0","0-0"
"338",0,2015-01-08,2015-01-08 00:30:00,473,30,169,"1/8/2015","0:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 0:51",709,"0","0-30"
"339",1,2015-01-08,2015-01-08 01:00:00,318,0,170,"1/8/2015","1:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 1:51",872,"0","1-0"
"340",1,2015-01-08,2015-01-08 01:30:00,183,30,170,"1/8/2015","1:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 1:51",967,"0","1-30"
"341",2,2015-01-08,2015-01-08 02:00:00,145,0,171,"1/8/2015","2:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 2:51",1048,"0","2-0"
"342",2,2015-01-08,2015-01-08 02:30:00,80,30,171,"1/8/2015","2:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 2:51",1024,"0","2-30"
"343",3,2015-01-08,2015-01-08 03:00:00,74,0,172,"1/8/2015","3:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 3:51",957,"0","3-0"
"344",3,2015-01-08,2015-01-08 03:30:00,101,30,172,"1/8/2015","3:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 3:51",857,"0","3-30"
"345",4,2015-01-08,2015-01-08 04:00:00,90,0,173,"1/8/2015","4:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 4:51",847,"0","4-0"
"346",4,2015-01-08,2015-01-08 04:30:00,90,30,173,"1/8/2015","4:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 4:51",629,"0","4-30"
"347",5,2015-01-08,2015-01-08 05:00:00,136,0,174,"1/8/2015","5:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 5:51",531,"0","5-0"
"348",5,2015-01-08,2015-01-08 05:30:00,183,30,174,"1/8/2015","5:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 5:51",415,"0","5-30"
"349",6,2015-01-08,2015-01-08 06:00:00,322,0,175,"1/8/2015","6:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 6:51",384,"0","6-0"
"350",6,2015-01-08,2015-01-08 06:30:00,449,30,175,"1/8/2015","6:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 6:51",335,"0","6-30"
"351",7,2015-01-08,2015-01-08 07:00:00,409,0,176,"1/8/2015","7:51:00",-11.7,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 7:51",327,"0","7-0"
"352",7,2015-01-08,2015-01-08 07:30:00,551,30,176,"1/8/2015","7:51:00",-11.7,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 7:51",290,"0","7-30"
"353",8,2015-01-08,2015-01-08 08:00:00,514,0,177,"1/8/2015","8:51:00",-10.6,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 8:51",195,"0","8-0"
"354",8,2015-01-08,2015-01-08 08:30:00,483,30,177,"1/8/2015","8:51:00",-10.6,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 8:51",198,"0","8-30"
"355",9,2015-01-08,2015-01-08 09:00:00,418,0,178,"1/8/2015","9:51:00",-9.4,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 9:51",219,"0","9-0"
"356",9,2015-01-08,2015-01-08 09:30:00,402,30,178,"1/8/2015","9:51:00",-9.4,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 9:51",238,"0","9-30"
"357",10,2015-01-08,2015-01-08 10:00:00,350,0,179,"1/8/2015","10:51:00",-8.3,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 10:51",249,"0","10-0"
"358",10,2015-01-08,2015-01-08 10:30:00,356,30,179,"1/8/2015","10:51:00",-8.3,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 10:51",264,"0","10-30"
"359",11,2015-01-08,2015-01-08 11:00:00,294,0,180,"1/8/2015","11:51:00",-7.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 11:51",223,"0","11-0"
"360",11,2015-01-08,2015-01-08 11:30:00,341,30,180,"1/8/2015","11:51:00",-7.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 11:51",333,"0","11-30"
"361",12,2015-01-08,2015-01-08 12:00:00,385,0,181,"1/8/2015","12:51:00",-6.1,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 12:51",334,"0","12-0"
"362",12,2015-01-08,2015-01-08 12:30:00,337,30,181,"1/8/2015","12:51:00",-6.1,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 12:51",393,"0","12-30"
"363",13,2015-01-08,2015-01-08 13:00:00,345,0,182,"1/8/2015","13:51:00",-6.1,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 13:51",351,"0","13-0"
"364",13,2015-01-08,2015-01-08 13:30:00,417,30,182,"1/8/2015","13:51:00",-6.1,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 13:51",432,"0","13-30"
"365",14,2015-01-08,2015-01-08 14:00:00,496,0,183,"1/8/2015","14:51:00",-5.6,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 14:51",522,"0","14-0"
"366",14,2015-01-08,2015-01-08 14:30:00,530,30,183,"1/8/2015","14:51:00",-5.6,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 14:51",553,"0","14-30"
"367",15,2015-01-08,2015-01-08 15:00:00,556,0,184,"1/8/2015","15:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 15:51",578,"0","15-0"
"368",15,2015-01-08,2015-01-08 15:30:00,570,30,184,"1/8/2015","15:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 15:51",535,"0","15-30"
"369",16,2015-01-08,2015-01-08 16:00:00,553,0,185,"1/8/2015","16:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 16:51",459,"0","16-0"
"370",16,2015-01-08,2015-01-08 16:30:00,442,30,185,"1/8/2015","16:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 16:51",422,"0","16-30"
"371",17,2015-01-08,2015-01-08 17:00:00,454,0,186,"1/8/2015","17:51:00",-7.2,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 17:51",445,"0","17-0"
"372",17,2015-01-08,2015-01-08 17:30:00,512,30,186,"1/8/2015","17:51:00",-7.2,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 17:51",427,"0","17-30"
"373",18,2015-01-08,2015-01-08 18:00:00,542,0,187,"1/8/2015","18:51:00",-7.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 18:51",481,"0","18-0"
"374",18,2015-01-08,2015-01-08 18:30:00,542,30,187,"1/8/2015","18:51:00",-7.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 18:51",410,"0","18-30"
"375",19,2015-01-08,2015-01-08 19:00:00,554,0,188,"1/8/2015","19:51:00",-7.8,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 19:51",404,"0","19-0"
"376",19,2015-01-08,2015-01-08 19:30:00,613,30,188,"1/8/2015","19:51:00",-7.8,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 19:51",458,"0","19-30"
"377",20,2015-01-08,2015-01-08 20:00:00,570,0,189,"1/8/2015","20:51:00",-7.8,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 20:51",485,"0","20-0"
"378",20,2015-01-08,2015-01-08 20:30:00,652,30,189,"1/8/2015","20:51:00",-7.8,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 20:51",498,"0","20-30"
"379",21,2015-01-08,2015-01-08 21:00:00,586,0,190,"1/8/2015","21:51:00",-7.2,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 21:51",472,"0","21-0"
"380",21,2015-01-08,2015-01-08 21:30:00,616,30,190,"1/8/2015","21:51:00",-7.2,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 21:51",502,"0","21-30"
"381",22,2015-01-08,2015-01-08 22:00:00,561,0,191,"1/8/2015","22:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 22:51",517,"0","22-0"
"382",22,2015-01-08,2015-01-08 22:30:00,621,30,191,"1/8/2015","22:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 22:51",486,"0","22-30"
"383",23,2015-01-08,2015-01-08 23:00:00,550,0,192,"1/8/2015","23:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 23:51",389,"0","23-0"
"384",23,2015-01-08,2015-01-08 23:30:00,484,30,192,"1/8/2015","23:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 23:51",464,"0","23-30"
"385",0,2015-01-09,2015-01-09 00:00:00,446,0,193,"1/9/2015","0:51:00",-5.6,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 0:51",344,"0","0-0"
"386",0,2015-01-09,2015-01-09 00:30:00,402,30,193,"1/9/2015","0:51:00",-5.6,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 0:51",387,"0","0-30"
"387",1,2015-01-09,2015-01-09 01:00:00,385,0,194,"1/9/2015","1:51:00",-4.4,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 1:51",196,"0","1-0"
"388",1,2015-01-09,2015-01-09 01:30:00,217,30,194,"1/9/2015","1:51:00",-4.4,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 1:51",126,"0","1-30"
"389",2,2015-01-09,2015-01-09 02:00:00,181,0,195,"1/9/2015","2:51:00",-2.8,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 2:51",117,"0","2-0"
"390",2,2015-01-09,2015-01-09 02:30:00,140,30,195,"1/9/2015","2:51:00",-2.8,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 2:51",93,"0","2-30"
"391",3,2015-01-09,2015-01-09 03:00:00,124,0,196,"1/9/2015","3:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 3:51",69,"0","3-0"
"392",3,2015-01-09,2015-01-09 03:30:00,104,30,196,"1/9/2015","3:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 3:51",63,"0","3-30"
"393",4,2015-01-09,2015-01-09 04:00:00,105,0,197,"1/9/2015","4:51:00",-1.7,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 4:51",81,"0","4-0"
"394",4,2015-01-09,2015-01-09 04:30:00,87,30,197,"1/9/2015","4:51:00",-1.7,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 4:51",79,"0","4-30"
"395",5,2015-01-09,2015-01-09 05:00:00,163,0,198,"1/9/2015","5:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 5:51",137,"0","5-0"
"396",5,2015-01-09,2015-01-09 05:30:00,265,30,198,"1/9/2015","5:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 5:51",218,"0","5-30"
"397",6,2015-01-09,2015-01-09 06:00:00,347,0,199,"1/9/2015","6:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 6:51",254,"0","6-0"
"398",6,2015-01-09,2015-01-09 06:30:00,427,30,199,"1/9/2015","6:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 6:51",285,"0","6-30"
"399",7,2015-01-09,2015-01-09 07:00:00,397,0,200,"1/9/2015","7:11:00",-2,8,0,"Snow","6",1,2,NA,"1/9/2015 7:11",273,"0","7-0"
"400",7,2015-01-09,2015-01-09 07:30:00,422,30,200,"1/9/2015","7:11:00",-2,8,0,"Snow","6",1,2,NA,"1/9/2015 7:11",313,"0","7-30"
"401",8,2015-01-09,2015-01-09 08:00:00,438,0,201,"1/9/2015","8:51:00",-3.9,0.8,0.5,"Snow","6",1,2,NA,"1/9/2015 8:51",274,"0","8-0"
"402",8,2015-01-09,2015-01-09 08:30:00,410,30,201,"1/9/2015","8:51:00",-3.9,0.8,0.5,"Snow","6",1,2,NA,"1/9/2015 8:51",272,"0","8-30"
"403",9,2015-01-09,2015-01-09 09:00:00,369,0,202,"1/9/2015","9:02:00",-4,6.4,0,"Snow","6",1,2,NA,"1/9/2015 9:02",308,"0","9-0"
"404",9,2015-01-09,2015-01-09 09:30:00,382,30,202,"1/9/2015","9:02:00",-4,6.4,0,"Snow","6",1,2,NA,"1/9/2015 9:02",333,"0","9-30"
"405",10,2015-01-09,2015-01-09 10:00:00,319,0,203,"1/9/2015","10:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 10:51",333,"0","10-0"
"406",10,2015-01-09,2015-01-09 10:30:00,354,30,203,"1/9/2015","10:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 10:51",294,"0","10-30"
"407",11,2015-01-09,2015-01-09 11:00:00,342,0,204,"1/9/2015","11:51:00",-1.7,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 11:51",279,"0","11-0"
"408",11,2015-01-09,2015-01-09 11:30:00,351,30,204,"1/9/2015","11:51:00",-1.7,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 11:51",292,"0","11-30"
"409",12,2015-01-09,2015-01-09 12:00:00,290,0,205,"1/9/2015","12:51:00",0,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 12:51",373,"0","12-0"
"410",12,2015-01-09,2015-01-09 12:30:00,333,30,205,"1/9/2015","12:51:00",0,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 12:51",339,"0","12-30"
"411",13,2015-01-09,2015-01-09 13:00:00,388,0,206,"1/9/2015","13:51:00",0.6,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 13:51",374,"0","13-0"
"412",13,2015-01-09,2015-01-09 13:30:00,348,30,206,"1/9/2015","13:51:00",0.6,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 13:51",410,"0","13-30"
"413",14,2015-01-09,2015-01-09 14:00:00,429,0,207,"1/9/2015","14:51:00",0.6,16.1,0,"Partly Cloudy","6",1,2,NA,"1/9/2015 14:51",493,"0","14-0"
"414",14,2015-01-09,2015-01-09 14:30:00,522,30,207,"1/9/2015","14:51:00",0.6,16.1,0,"Partly Cloudy","6",1,2,NA,"1/9/2015 14:51",525,"0","14-30"
"415",15,2015-01-09,2015-01-09 15:00:00,538,0,208,"1/9/2015","15:51:00",0,16.1,0,"Partly Cloudy","6",1,2,NA,"1/9/2015 15:51",598,"0","15-0"
"416",15,2015-01-09,2015-01-09 15:30:00,576,30,208,"1/9/2015","15:51:00",0,16.1,0,"Partly Cloudy","6",1,2,NA,"1/9/2015 15:51",559,"0","15-30"
