"","Hour_of_day","Day_date","date_time","pickups","min","Row_num","Date","Time..EST.","Temp.","Visibility","Precip","Conditions","Day_of_week","Month","Week","X","Date_1","one_week_lag_pickups","isholiday","hour_min"
"337",0,2015-01-08,2015-01-08 00:00:00,2808,0,169,"1/8/2015","0:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 0:51",5619,"0","0-0"
"338",0,2015-01-08,2015-01-08 00:30:00,2007,30,169,"1/8/2015","0:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 0:51",7458,"0","0-30"
"339",1,2015-01-08,2015-01-08 01:00:00,1606,0,170,"1/8/2015","1:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 1:51",7096,"0","1-0"
"340",1,2015-01-08,2015-01-08 01:30:00,1264,30,170,"1/8/2015","1:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 1:51",6566,"0","1-30"
"341",2,2015-01-08,2015-01-08 02:00:00,1005,0,171,"1/8/2015","2:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 2:51",6119,"0","2-0"
"342",2,2015-01-08,2015-01-08 02:30:00,832,30,171,"1/8/2015","2:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 2:51",6080,"0","2-30"
"343",3,2015-01-08,2015-01-08 03:00:00,652,0,172,"1/8/2015","3:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 3:51",6029,"0","3-0"
"344",3,2015-01-08,2015-01-08 03:30:00,587,30,172,"1/8/2015","3:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 3:51",5739,"0","3-30"
"345",4,2015-01-08,2015-01-08 04:00:00,539,0,173,"1/8/2015","4:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 4:51",5021,"0","4-0"
"346",4,2015-01-08,2015-01-08 04:30:00,377,30,173,"1/8/2015","4:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 4:51",3487,"0","4-30"
"347",5,2015-01-08,2015-01-08 05:00:00,421,0,174,"1/8/2015","5:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 5:51",2475,"0","5-0"
"348",5,2015-01-08,2015-01-08 05:30:00,881,30,174,"1/8/2015","5:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 5:51",1900,"0","5-30"
"349",6,2015-01-08,2015-01-08 06:00:00,1380,0,175,"1/8/2015","6:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 6:51",1522,"0","6-0"
"350",6,2015-01-08,2015-01-08 06:30:00,2822,30,175,"1/8/2015","6:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 6:51",1337,"0","6-30"
"351",7,2015-01-08,2015-01-08 07:00:00,3406,0,176,"1/8/2015","7:51:00",-11.7,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 7:51",1179,"0","7-0"
"352",7,2015-01-08,2015-01-08 07:30:00,4308,30,176,"1/8/2015","7:51:00",-11.7,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 7:51",1116,"0","7-30"
"353",8,2015-01-08,2015-01-08 08:00:00,4825,0,177,"1/8/2015","8:51:00",-10.6,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 8:51",1025,"0","8-0"
"354",8,2015-01-08,2015-01-08 08:30:00,4855,30,177,"1/8/2015","8:51:00",-10.6,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 8:51",1107,"0","8-30"
"355",9,2015-01-08,2015-01-08 09:00:00,4718,0,178,"1/8/2015","9:51:00",-9.4,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 9:51",1108,"0","9-0"
"356",9,2015-01-08,2015-01-08 09:30:00,4364,30,178,"1/8/2015","9:51:00",-9.4,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 9:51",1330,"0","9-30"
"357",10,2015-01-08,2015-01-08 10:00:00,3625,0,179,"1/8/2015","10:51:00",-8.3,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 10:51",1525,"0","10-0"
"358",10,2015-01-08,2015-01-08 10:30:00,3595,30,179,"1/8/2015","10:51:00",-8.3,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 10:51",1972,"0","10-30"
"359",11,2015-01-08,2015-01-08 11:00:00,3154,0,180,"1/8/2015","11:51:00",-7.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 11:51",2344,"0","11-0"
"360",11,2015-01-08,2015-01-08 11:30:00,3489,30,180,"1/8/2015","11:51:00",-7.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 11:51",2886,"0","11-30"
"361",12,2015-01-08,2015-01-08 12:00:00,3523,0,181,"1/8/2015","12:51:00",-6.1,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 12:51",3046,"0","12-0"
"362",12,2015-01-08,2015-01-08 12:30:00,3213,30,181,"1/8/2015","12:51:00",-6.1,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 12:51",3258,"0","12-30"
"363",13,2015-01-08,2015-01-08 13:00:00,3331,0,182,"1/8/2015","13:51:00",-6.1,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 13:51",3287,"0","13-0"
"364",13,2015-01-08,2015-01-08 13:30:00,3459,30,182,"1/8/2015","13:51:00",-6.1,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 13:51",3401,"0","13-30"
"365",14,2015-01-08,2015-01-08 14:00:00,3424,0,183,"1/8/2015","14:51:00",-5.6,16.1,0,"Scattered Clouds","5",1,2,NA,"1/8/2015 14:51",3314,"0","14-0"
"366",14,2015-01-08,2015-01-08 14:30:00,3722,30,183,"1/8/2015","14:51:00",-5.6,16.1,0,"Scattered Clouds","5",1,2,NA,"1/8/2015 14:51",3487,"0","14-30"
"367",15,2015-01-08,2015-01-08 15:00:00,3691,0,184,"1/8/2015","15:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 15:51",3361,"0","15-0"
"368",15,2015-01-08,2015-01-08 15:30:00,3320,30,184,"1/8/2015","15:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 15:51",3287,"0","15-30"
"369",16,2015-01-08,2015-01-08 16:00:00,3090,0,185,"1/8/2015","16:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 16:51",3203,"0","16-0"
"370",16,2015-01-08,2015-01-08 16:30:00,2862,30,185,"1/8/2015","16:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 16:51",2917,"0","16-30"
"371",17,2015-01-08,2015-01-08 17:00:00,3396,0,186,"1/8/2015","17:51:00",-7.2,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 17:51",3166,"0","17-0"
"372",17,2015-01-08,2015-01-08 17:30:00,4265,30,186,"1/8/2015","17:51:00",-7.2,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 17:51",3268,"0","17-30"
"373",18,2015-01-08,2015-01-08 18:00:00,4953,0,187,"1/8/2015","18:51:00",-7.2,16.1,0,"Scattered Clouds","5",1,2,NA,"1/8/2015 18:51",3273,"0","18-0"
"374",18,2015-01-08,2015-01-08 18:30:00,5437,30,187,"1/8/2015","18:51:00",-7.2,16.1,0,"Scattered Clouds","5",1,2,NA,"1/8/2015 18:51",3449,"0","18-30"
"375",19,2015-01-08,2015-01-08 19:00:00,5923,0,188,"1/8/2015","19:51:00",-7.8,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 19:51",3292,"0","19-0"
"376",19,2015-01-08,2015-01-08 19:30:00,5922,30,188,"1/8/2015","19:51:00",-7.8,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 19:51",3233,"0","19-30"
"377",20,2015-01-08,2015-01-08 20:00:00,6105,0,189,"1/8/2015","20:51:00",-7.8,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 20:51",3107,"0","20-0"
"378",20,2015-01-08,2015-01-08 20:30:00,5736,30,189,"1/8/2015","20:51:00",-7.8,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 20:51",3007,"0","20-30"
"379",21,2015-01-08,2015-01-08 21:00:00,5864,0,190,"1/8/2015","21:51:00",-7.2,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 21:51",3010,"0","21-0"
"380",21,2015-01-08,2015-01-08 21:30:00,5800,30,190,"1/8/2015","21:51:00",-7.2,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 21:51",3077,"0","21-30"
"381",22,2015-01-08,2015-01-08 22:00:00,6059,0,191,"1/8/2015","22:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 22:51",2977,"0","22-0"
"382",22,2015-01-08,2015-01-08 22:30:00,5783,30,191,"1/8/2015","22:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 22:51",2959,"0","22-30"
"383",23,2015-01-08,2015-01-08 23:00:00,5363,0,192,"1/8/2015","23:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 23:51",2570,"0","23-0"
"384",23,2015-01-08,2015-01-08 23:30:00,4727,30,192,"1/8/2015","23:51:00",-6.7,16.1,0,"Overcast","5",1,2,NA,"1/8/2015 23:51",2578,"0","23-30"
"385",0,2015-01-09,2015-01-09 00:00:00,4039,0,193,"1/9/2015","0:51:00",-5.6,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 0:51",2192,"0","0-0"
"386",0,2015-01-09,2015-01-09 00:30:00,3140,30,193,"1/9/2015","0:51:00",-5.6,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 0:51",2330,"0","0-30"
"387",1,2015-01-09,2015-01-09 01:00:00,2510,0,194,"1/9/2015","1:51:00",-4.4,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 1:51",1990,"0","1-0"
"388",1,2015-01-09,2015-01-09 01:30:00,2014,30,194,"1/9/2015","1:51:00",-4.4,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 1:51",1400,"0","1-30"
"389",2,2015-01-09,2015-01-09 02:00:00,1685,0,195,"1/9/2015","2:51:00",-2.8,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 2:51",1229,"0","2-0"
"390",2,2015-01-09,2015-01-09 02:30:00,1344,30,195,"1/9/2015","2:51:00",-2.8,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 2:51",1000,"0","2-30"
"391",3,2015-01-09,2015-01-09 03:00:00,1091,0,196,"1/9/2015","3:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 3:51",880,"0","3-0"
"392",3,2015-01-09,2015-01-09 03:30:00,909,30,196,"1/9/2015","3:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 3:51",694,"0","3-30"
"393",4,2015-01-09,2015-01-09 04:00:00,893,0,197,"1/9/2015","4:51:00",-1.7,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 4:51",729,"0","4-0"
"394",4,2015-01-09,2015-01-09 04:30:00,564,30,197,"1/9/2015","4:51:00",-1.7,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 4:51",546,"0","4-30"
"395",5,2015-01-09,2015-01-09 05:00:00,535,0,198,"1/9/2015","5:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 5:51",427,"0","5-0"
"396",5,2015-01-09,2015-01-09 05:30:00,865,30,198,"1/9/2015","5:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 5:51",500,"0","5-30"
"397",6,2015-01-09,2015-01-09 06:00:00,1317,0,199,"1/9/2015","6:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 6:51",744,"0","6-0"
"398",6,2015-01-09,2015-01-09 06:30:00,2584,30,199,"1/9/2015","6:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 6:51",1163,"0","6-30"
"399",7,2015-01-09,2015-01-09 07:00:00,2926,0,200,"1/9/2015","7:11:00",-2,8,0,"Snow","6",1,2,NA,"1/9/2015 7:11",1293,"0","7-0"
"400",7,2015-01-09,2015-01-09 07:30:00,3184,30,200,"1/9/2015","7:11:00",-2,8,0,"Snow","6",1,2,NA,"1/9/2015 7:11",1578,"0","7-30"
"401",8,2015-01-09,2015-01-09 08:00:00,3212,0,201,"1/9/2015","8:51:00",-3.9,0.8,0.5,"Snow","6",1,2,NA,"1/9/2015 8:51",1602,"0","8-0"
"402",8,2015-01-09,2015-01-09 08:30:00,3342,30,201,"1/9/2015","8:51:00",-3.9,0.8,0.5,"Snow","6",1,2,NA,"1/9/2015 8:51",2085,"0","8-30"
"403",9,2015-01-09,2015-01-09 09:00:00,3652,0,202,"1/9/2015","9:02:00",-4,6.4,0,"Snow","6",1,2,NA,"1/9/2015 9:02",2034,"0","9-0"
"404",9,2015-01-09,2015-01-09 09:30:00,3899,30,202,"1/9/2015","9:02:00",-4,6.4,0,"Snow","6",1,2,NA,"1/9/2015 9:02",2249,"0","9-30"
"405",10,2015-01-09,2015-01-09 10:00:00,3417,0,203,"1/9/2015","10:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 10:51",2274,"0","10-0"
"406",10,2015-01-09,2015-01-09 10:30:00,3185,30,203,"1/9/2015","10:51:00",-2.2,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 10:51",2511,"0","10-30"
"407",11,2015-01-09,2015-01-09 11:00:00,2907,0,204,"1/9/2015","11:51:00",-1.7,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 11:51",2765,"0","11-0"
"408",11,2015-01-09,2015-01-09 11:30:00,3228,30,204,"1/9/2015","11:51:00",-1.7,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 11:51",2992,"0","11-30"
"409",12,2015-01-09,2015-01-09 12:00:00,3273,0,205,"1/9/2015","12:51:00",0,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 12:51",3228,"0","12-0"
"410",12,2015-01-09,2015-01-09 12:30:00,3093,30,205,"1/9/2015","12:51:00",0,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 12:51",3388,"0","12-30"
"411",13,2015-01-09,2015-01-09 13:00:00,3105,0,206,"1/9/2015","13:51:00",0.6,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 13:51",3218,"0","13-0"
"412",13,2015-01-09,2015-01-09 13:30:00,3338,30,206,"1/9/2015","13:51:00",0.6,16.1,0,"Overcast","6",1,2,NA,"1/9/2015 13:51",3343,"0","13-30"
"413",14,2015-01-09,2015-01-09 14:00:00,3440,0,207,"1/9/2015","14:51:00",0.6,16.1,0,"Scattered Clouds","6",1,2,NA,"1/9/2015 14:51",3482,"0","14-0"
"414",14,2015-01-09,2015-01-09 14:30:00,3580,30,207,"1/9/2015","14:51:00",0.6,16.1,0,"Scattered Clouds","6",1,2,NA,"1/9/2015 14:51",3559,"0","14-30"
"415",15,2015-01-09,2015-01-09 15:00:00,3407,0,208,"1/9/2015","15:51:00",0,16.1,0,"Scattered Clouds","6",1,2,NA,"1/9/2015 15:51",3409,"0","15-0"
"416",15,2015-01-09,2015-01-09 15:30:00,3297,30,208,"1/9/2015","15:51:00",0,16.1,0,"Scattered Clouds","6",1,2,NA,"1/9/2015 15:51",3417,"0","15-30"
"417",16,2015-01-09,2015-01-09 16:00:00,2927,0,209,"1/9/2015","16:51:00",0,16.1,0,"Scattered Clouds","6",1,2,NA,"1/9/2015 16:51",3295,"0","16-0"
"418",16,2015-01-09,2015-01-09 16:30:00,2940,30,209,"1/9/2015","16:51:00",0,16.1,0,"Scattered Clouds","6",1,2,NA,"1/9/2015 16:51",3008,"0","16-30"
"419",17,2015-01-09,2015-01-09 17:00:00,3516,0,210,"1/9/2015","17:51:00",-0.6,16.1,0,"Partly Cloudy","6",1,2,NA,"1/9/2015 17:51",3465,"0","17-0"
"420",17,2015-01-09,2015-01-09 17:30:00,4296,30,210,"1/9/2015","17:51:00",-0.6,16.1,0,"Partly Cloudy","6",1,2,NA,"1/9/2015 17:51",3755,"0","17-30"
"421",18,2015-01-09,2015-01-09 18:00:00,5245,0,211,"1/9/2015","18:51:00",-0.6,16.1,0,"Partly Cloudy","6",1,2,NA,"1/9/2015 18:51",3945,"0","18-0"
"422",18,2015-01-09,2015-01-09 18:30:00,5925,30,211,"1/9/2015","18:51:00",-0.6,16.1,0,"Partly Cloudy","6",1,2,NA,"1/9/2015 18:51",4312,"0","18-30"
"423",19,2015-01-09,2015-01-09 19:00:00,6450,0,212,"1/9/2015","19:51:00",-1.7,16.1,0,"Partly Cloudy","6",1,2,NA,"1/9/2015 19:51",4770,"0","19-0"
"424",19,2015-01-09,2015-01-09 19:30:00,6761,30,212,"1/9/2015","19:51:00",-1.7,16.1,0,"Partly Cloudy","6",1,2,NA,"1/9/2015 19:51",4487,"0","19-30"
"425",20,2015-01-09,2015-01-09 20:00:00,6503,0,213,"1/9/2015","20:51:00",-2.2,16.1,0,"Partly Cloudy","6",1,2,NA,"1/9/2015 20:51",4413,"0","20-0"
"426",20,2015-01-09,2015-01-09 20:30:00,6195,30,213,"1/9/2015","20:51:00",-2.2,16.1,0,"Partly Cloudy","6",1,2,NA,"1/9/2015 20:51",4302,"0","20-30"
"427",21,2015-01-09,2015-01-09 21:00:00,6246,0,214,"1/9/2015","21:51:00",-2.8,16.1,0,"Clear","6",1,2,NA,"1/9/2015 21:51",4180,"0","21-0"
"428",21,2015-01-09,2015-01-09 21:30:00,6229,30,214,"1/9/2015","21:51:00",-2.8,16.1,0,"Clear","6",1,2,NA,"1/9/2015 21:51",4295,"0","21-30"
"429",22,2015-01-09,2015-01-09 22:00:00,6477,0,215,"1/9/2015","22:51:00",-3.9,16.1,0,"Clear","6",1,2,NA,"1/9/2015 22:51",4826,"0","22-0"
"430",22,2015-01-09,2015-01-09 22:30:00,6935,30,215,"1/9/2015","22:51:00",-3.9,16.1,0,"Clear","6",1,2,NA,"1/9/2015 22:51",4850,"0","22-30"
"431",23,2015-01-09,2015-01-09 23:00:00,7284,0,216,"1/9/2015","23:51:00",-4.4,16.1,0,"Clear","6",1,2,NA,"1/9/2015 23:51",5062,"0","23-0"
"432",23,2015-01-09,2015-01-09 23:30:00,7810,30,216,"1/9/2015","23:51:00",-4.4,16.1,0,"Clear","6",1,2,NA,"1/9/2015 23:51",5475,"0","23-30"
"433",0,2015-01-10,2015-01-10 00:00:00,7628,0,217,"1/10/2015","0:51:00",-5,16.1,0,"Clear","7",1,2,NA,"1/10/2015 0:51",5532,"0","0-0"
"434",0,2015-01-10,2015-01-10 00:30:00,7466,30,217,"1/10/2015","0:51:00",-5,16.1,0,"Clear","7",1,2,NA,"1/10/2015 0:51",5322,"0","0-30"
"435",1,2015-01-10,2015-01-10 01:00:00,7045,0,218,"1/10/2015","1:51:00",-5.6,16.1,0,"Clear","7",1,2,NA,"1/10/2015 1:51",5180,"0","1-0"
"436",1,2015-01-10,2015-01-10 01:30:00,6745,30,218,"1/10/2015","1:51:00",-5.6,16.1,0,"Clear","7",1,2,NA,"1/10/2015 1:51",4943,"0","1-30"
"437",2,2015-01-10,2015-01-10 02:00:00,6257,0,219,"1/10/2015","2:51:00",-6.1,16.1,0,"Clear","7",1,2,NA,"1/10/2015 2:51",4819,"0","2-0"
"438",2,2015-01-10,2015-01-10 02:30:00,5519,30,219,"1/10/2015","2:51:00",-6.1,16.1,0,"Clear","7",1,2,NA,"1/10/2015 2:51",4228,"0","2-30"
"439",3,2015-01-10,2015-01-10 03:00:00,4618,0,220,"1/10/2015","3:51:00",-6.7,16.1,0,"Clear","7",1,2,NA,"1/10/2015 3:51",3893,"0","3-0"
"440",3,2015-01-10,2015-01-10 03:30:00,3713,30,220,"1/10/2015","3:51:00",-6.7,16.1,0,"Clear","7",1,2,NA,"1/10/2015 3:51",3079,"0","3-30"
"441",4,2015-01-10,2015-01-10 04:00:00,2850,0,221,"1/10/2015","4:51:00",-7.2,16.1,0,"Clear","7",1,2,NA,"1/10/2015 4:51",2628,"0","4-0"
"442",4,2015-01-10,2015-01-10 04:30:00,1536,30,221,"1/10/2015","4:51:00",-7.2,16.1,0,"Clear","7",1,2,NA,"1/10/2015 4:51",1451,"0","4-30"
"443",5,2015-01-10,2015-01-10 05:00:00,997,0,222,"1/10/2015","5:51:00",-7.2,16.1,0,"Clear","7",1,2,NA,"1/10/2015 5:51",850,"0","5-0"
"444",5,2015-01-10,2015-01-10 05:30:00,763,30,222,"1/10/2015","5:51:00",-7.2,16.1,0,"Clear","7",1,2,NA,"1/10/2015 5:51",621,"0","5-30"
"445",6,2015-01-10,2015-01-10 06:00:00,693,0,223,"1/10/2015","6:51:00",-7.8,16.1,0,"Partly Cloudy","7",1,2,NA,"1/10/2015 6:51",630,"0","6-0"
"446",6,2015-01-10,2015-01-10 06:30:00,833,30,223,"1/10/2015","6:51:00",-7.8,16.1,0,"Partly Cloudy","7",1,2,NA,"1/10/2015 6:51",712,"0","6-30"
"447",7,2015-01-10,2015-01-10 07:00:00,1004,0,224,"1/10/2015","7:51:00",-7.8,16.1,0,"Partly Cloudy","7",1,2,NA,"1/10/2015 7:51",716,"0","7-0"
"448",7,2015-01-10,2015-01-10 07:30:00,1347,30,224,"1/10/2015","7:51:00",-7.8,16.1,0,"Partly Cloudy","7",1,2,NA,"1/10/2015 7:51",867,"0","7-30"
"449",8,2015-01-10,2015-01-10 08:00:00,1489,0,225,"1/10/2015","8:51:00",-7.8,16.1,0,"Partly Cloudy","7",1,2,NA,"1/10/2015 8:51",1058,"0","8-0"
"450",8,2015-01-10,2015-01-10 08:30:00,2220,30,225,"1/10/2015","8:51:00",-7.8,16.1,0,"Partly Cloudy","7",1,2,NA,"1/10/2015 8:51",1496,"0","8-30"
"451",9,2015-01-10,2015-01-10 09:00:00,2522,0,226,"1/10/2015","9:51:00",-7.2,16.1,0,"Partly Cloudy","7",1,2,NA,"1/10/2015 9:51",1680,"0","9-0"
"452",9,2015-01-10,2015-01-10 09:30:00,3295,30,226,"1/10/2015","9:51:00",-7.2,16.1,0,"Partly Cloudy","7",1,2,NA,"1/10/2015 9:51",2120,"0","9-30"
"453",10,2015-01-10,2015-01-10 10:00:00,3202,0,227,"1/10/2015","10:51:00",-6.7,16.1,0,"Partly Cloudy","7",1,2,NA,"1/10/2015 10:51",2318,"0","10-0"
"454",10,2015-01-10,2015-01-10 10:30:00,3946,30,227,"1/10/2015","10:51:00",-6.7,16.1,0,"Partly Cloudy","7",1,2,NA,"1/10/2015 10:51",2827,"0","10-30"
"455",11,2015-01-10,2015-01-10 11:00:00,3993,0,228,"1/10/2015","11:51:00",-6.1,16.1,0,"Partly Cloudy","7",1,2,NA,"1/10/2015 11:51",2830,"0","11-0"
